[ Thu Jul 05 17:02:30 CEST 2012 ]Reading File :cbconiv_Fusion_5011_14_1_4.ber
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]Reading File :cbconiv_Fusion_5011_14_1_4.ber.realigned
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]Reading File :cbconiv_Fusion_5012_14_1_4.ber
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]Reading File :cbconiv_Fusion_5013_14_1_4.ber
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]Reading File :cbconiv_Fusion_5013_14_1_4.ber.realigned
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]Reading File :cbconiv_Fusion_5014_14_1_4.ber
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]Reading File :cbconiv_Fusion_5014_14_1_4.ber.realigned
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]Reading File :cbconiv_Fusion_5015_14_1_4.ber
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]Reading File :cbconiv_Fusion_5015_14_1_4.ber.realigned
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]Reading File :cbconiv_Fusion_5016_14_1_4.ber
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]Reading File :cbconiv_Fusion_5017_14_1_4.ber
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]Reading File :cbconiv_Fusion_5018_14_1_4.ber
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]Reading File :cbconiv_Fusion_5018_14_1_4.ber.realigned
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]Reading File :cbconiv_Fusion_5019_14_1_4.ber
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]Reading File :cbconiv_Fusion_5019_14_1_4.ber.realigned
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]Reading File :cbconiv_Fusion_5020_14_1_4.ber
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]Reading File :cbconiv_Fusion_5020_14_1_4.ber.realigned
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]Reading File :cbconiv_Fusion_5021_14_1_4.ber
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]Reading File :cbconiv_Fusion_5021_14_1_4.ber.realigned
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeCrossConnections Identified..
